                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1829,                 2.6367,                 1.4336,                0.53378,                0.30181,                0.23679,                0.15069,                    nan,                    nan,                    nan,             0.00047252,             0.00047252,             0.00047252
                      2,                  1.311,                 2.3142,                 1.4902,                0.36924,                0.35075,                0.31269,                0.17063,                    nan,                    nan,                    nan,             0.00093938,             0.00093938,             0.00093938
                      3,                 1.3373,                 2.3024,                 1.5605,                0.54514,                0.28413,                0.25707,                0.14771,                    nan,                    nan,                    nan,              0.0013967,              0.0013967,              0.0013967
                      4,                 1.4647,                 2.3759,                 1.6817,                0.23619,                0.21695,                0.17965,                0.08685,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                      5,                 1.5225,                 2.3866,                 1.6867,                0.37817,                0.30525,                 0.2333,                 0.1141,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                      6,                  1.495,                 2.2781,                 1.6556,                0.30003,                0.23242,                0.16985,                0.09319,                    nan,                    nan,                    nan,              0.0013719,              0.0013719,              0.0013719
                      7,                 1.4085,                 2.2159,                  1.627,                0.55869,                0.31684,                0.23792,                0.12981,                    nan,                    nan,                    nan,              0.0013576,              0.0013576,              0.0013576
                      8,                  1.402,                 2.0598,                 1.6038,                0.35776,                0.29938,                0.26855,                0.14106,                    nan,                    nan,                    nan,              0.0013434,              0.0013434,              0.0013434
                      9,                 1.4427,                 2.0349,                 1.5878,                0.48966,                0.31459,                0.30405,                0.17635,                    nan,                    nan,                    nan,              0.0013291,              0.0013291,              0.0013291
                     10,                 1.3335,                 1.9176,                 1.5376,                0.55896,                0.35702,                0.33903,                0.18525,                    nan,                    nan,                    nan,              0.0013148,              0.0013148,              0.0013148
                     11,                 1.3799,                 1.8504,                 1.5532,                 0.4467,                0.30906,                0.28157,                  0.155,                    nan,                    nan,                    nan,              0.0013005,              0.0013005,              0.0013005
                     12,                  1.439,                 1.8846,                 1.5928,                0.50746,                0.36021,                0.33975,                0.18117,                    nan,                    nan,                    nan,              0.0012863,              0.0012863,              0.0012863
                     13,                 1.3725,                 1.7931,                 1.5286,                 0.6047,                0.32194,                0.30808,                0.18532,                    nan,                    nan,                    nan,               0.001272,               0.001272,               0.001272
                     14,                 1.3581,                 1.8209,                 1.5565,                0.60325,                0.35306,                0.33555,                0.20665,                    nan,                    nan,                    nan,              0.0012577,              0.0012577,              0.0012577
                     15,                  1.328,                  1.747,                 1.5031,                0.58915,                 0.3553,                0.34483,                0.21718,                    nan,                    nan,                    nan,              0.0012435,              0.0012435,              0.0012435
                     16,                 1.3075,                 1.6716,                  1.485,                0.69616,                0.34604,                0.34833,                 0.1935,                    nan,                    nan,                    nan,              0.0012292,              0.0012292,              0.0012292
                     17,                  1.293,                 1.6318,                 1.4969,                0.56815,                0.32534,                0.34521,                0.19645,                    nan,                    nan,                    nan,              0.0012149,              0.0012149,              0.0012149
                     18,                 1.2596,                 1.5974,                 1.4796,                  0.616,                0.29756,                0.30814,                0.20465,                    nan,                    nan,                    nan,              0.0012006,              0.0012006,              0.0012006
                     19,                 1.2477,                 1.5362,                  1.472,                0.74893,                0.38688,                0.38878,                0.20313,                    nan,                    nan,                    nan,              0.0011864,              0.0011864,              0.0011864
                     20,                  1.189,                 1.4898,                 1.4327,                0.50694,                0.36244,                0.34883,                  0.244,                    nan,                    nan,                    nan,              0.0011721,              0.0011721,              0.0011721
                     21,                  1.189,                 1.4404,                 1.4107,                0.74938,                0.35516,                 0.3583,                0.24904,                    nan,                    nan,                    nan,              0.0011578,              0.0011578,              0.0011578
                     22,                 1.2679,                 1.5061,                 1.4746,                0.60881,                0.34032,                0.33697,                0.18983,                    nan,                    nan,                    nan,              0.0011435,              0.0011435,              0.0011435
                     23,                 1.2435,                 1.4763,                 1.4686,                0.70233,                0.35421,                0.35538,                0.19308,                    nan,                    nan,                    nan,              0.0011293,              0.0011293,              0.0011293
                     24,                 1.2518,                 1.5051,                 1.4503,                0.69991,                0.37269,                0.37618,                0.22708,                    nan,                    nan,                    nan,               0.001115,               0.001115,               0.001115
                     25,                 1.2024,                 1.4311,                 1.4422,                 0.7149,                0.32591,                0.35265,                0.20934,                    nan,                    nan,                    nan,              0.0011007,              0.0011007,              0.0011007
                     26,                 1.1785,                 1.4542,                 1.4096,                0.74356,                0.32071,                0.35231,                0.23889,                    nan,                    nan,                    nan,              0.0010865,              0.0010865,              0.0010865
                     27,                 1.1982,                  1.386,                 1.4165,                0.72993,                0.40965,                0.39047,                0.26961,                    nan,                    nan,                    nan,              0.0010722,              0.0010722,              0.0010722
                     28,                 1.1814,                 1.3956,                 1.4272,                0.58445,                0.33106,                0.31832,                0.20624,                    nan,                    nan,                    nan,              0.0010579,              0.0010579,              0.0010579
                     29,                 1.1494,                 1.3145,                 1.3754,                0.63095,                 0.3882,                0.39001,                0.24925,                    nan,                    nan,                    nan,              0.0010436,              0.0010436,              0.0010436
                     30,                  1.185,                 1.3387,                 1.3933,                0.72222,                0.39141,                0.40766,                0.27282,                    nan,                    nan,                    nan,              0.0010294,              0.0010294,              0.0010294
                     31,                 1.1255,                 1.2771,                 1.3831,                0.83193,                0.35914,                0.37948,                0.23528,                    nan,                    nan,                    nan,              0.0010151,              0.0010151,              0.0010151
                     32,                 1.1455,                 1.2803,                 1.3993,                0.82038,                0.34532,                0.39408,                0.25396,                    nan,                    nan,                    nan,              0.0010008,              0.0010008,              0.0010008
                     33,                 1.1378,                 1.2631,                  1.364,                0.60443,                0.35549,                 0.3599,                0.25295,                    nan,                    nan,                    nan,             0.00098654,             0.00098654,             0.00098654
                     34,                 1.1249,                 1.2445,                 1.3569,                0.60049,                 0.3681,                0.36568,                0.25766,                    nan,                    nan,                    nan,             0.00097227,             0.00097227,             0.00097227
                     35,                 1.0867,                 1.2069,                 1.3473,                0.69988,                0.37395,                0.38275,                0.25385,                    nan,                    nan,                    nan,               0.000958,               0.000958,               0.000958
                     36,                 1.0361,                 1.1575,                 1.3119,                0.72371,                0.34446,                0.38032,                0.27099,                    nan,                    nan,                    nan,             0.00094372,             0.00094372,             0.00094372
                     37,                 1.1187,                  1.267,                 1.3908,                 0.7462,                0.36738,                0.38393,                0.26269,                    nan,                    nan,                    nan,             0.00092945,             0.00092945,             0.00092945
                     38,                 1.0818,                 1.1553,                 1.3434,                0.66165,                0.35446,                0.36165,                0.25332,                    nan,                    nan,                    nan,             0.00091518,             0.00091518,             0.00091518
                     39,                 1.0442,                 1.1444,                 1.3149,                0.76047,                0.33814,                0.37737,                0.25962,                    nan,                    nan,                    nan,              0.0009009,              0.0009009,              0.0009009
                     40,                  1.071,                 1.1468,                 1.3402,                0.70291,                0.36087,                0.38246,                0.25747,                    nan,                    nan,                    nan,             0.00088663,             0.00088663,             0.00088663
                     41,                 1.0217,                 1.1407,                 1.3237,                0.69479,                0.40195,                0.39931,                 0.2571,                    nan,                    nan,                    nan,             0.00087236,             0.00087236,             0.00087236
                     42,                 1.0444,                 1.1426,                 1.3243,                0.83791,                0.37467,                0.41438,                0.29834,                    nan,                    nan,                    nan,             0.00085809,             0.00085809,             0.00085809
                     43,                  1.076,                 1.1453,                  1.329,                 0.6791,                0.37736,                0.39604,                0.26889,                    nan,                    nan,                    nan,             0.00084381,             0.00084381,             0.00084381
                     44,                 1.0621,                 1.0963,                 1.3261,                0.83106,                0.35004,                0.38472,                0.26021,                    nan,                    nan,                    nan,             0.00082954,             0.00082954,             0.00082954
                     45,                 1.0497,                 1.0636,                 1.3375,                0.77382,                 0.3681,                0.38097,                0.26582,                    nan,                    nan,                    nan,             0.00081527,             0.00081527,             0.00081527
                     46,                 1.0623,                 1.0803,                 1.3333,                0.76737,                0.34816,                0.39569,                 0.2811,                    nan,                    nan,                    nan,             0.00080099,             0.00080099,             0.00080099
                     47,                 1.0634,                 1.0419,                 1.3252,                0.84999,                0.34897,                0.40785,                0.28985,                    nan,                    nan,                    nan,             0.00078672,             0.00078672,             0.00078672
                     48,                 1.0435,                 1.0645,                 1.3068,                0.75905,                0.38345,                 0.4083,                0.28875,                    nan,                    nan,                    nan,             0.00077245,             0.00077245,             0.00077245
                     49,                0.97817,                 1.0056,                  1.273,                0.69492,                0.38546,                0.37791,                0.25413,                    nan,                    nan,                    nan,             0.00075818,             0.00075818,             0.00075818
                     50,                0.98307,                 1.0039,                 1.2743,                0.71596,                0.35788,                 0.3926,                0.28221,                    nan,                    nan,                    nan,              0.0007439,              0.0007439,              0.0007439
                     51,                0.94894,                 1.0298,                 1.2524,                0.68711,                 0.3947,                0.39161,                0.27913,                    nan,                    nan,                    nan,             0.00072963,             0.00072963,             0.00072963
                     52,                0.93408,                 0.9863,                 1.2345,                 0.6874,                0.35235,                0.37215,                0.27037,                    nan,                    nan,                    nan,             0.00071536,             0.00071536,             0.00071536
                     53,                 1.0021,                 1.0051,                  1.283,                0.86102,                0.36433,                0.40253,                0.30482,                    nan,                    nan,                    nan,             0.00070108,             0.00070108,             0.00070108
                     54,                 0.9607,                0.93788,                 1.2474,                0.78575,                0.37273,                 0.4044,                0.30449,                    nan,                    nan,                    nan,             0.00068681,             0.00068681,             0.00068681
                     55,                0.94334,                0.92628,                 1.2522,                 0.7517,                0.34927,                0.39698,                0.29146,                    nan,                    nan,                    nan,             0.00067254,             0.00067254,             0.00067254
                     56,                0.95748,                0.92058,                  1.252,                0.94867,                0.36633,                0.40572,                 0.3005,                    nan,                    nan,                    nan,             0.00065827,             0.00065827,             0.00065827
                     57,                0.96853,                0.99077,                  1.243,                0.85216,                0.40999,                0.43008,                0.33017,                    nan,                    nan,                    nan,             0.00064399,             0.00064399,             0.00064399
                     58,                0.96286,                0.92721,                 1.2717,                0.72139,                0.41146,                0.42122,                0.31272,                    nan,                    nan,                    nan,             0.00062972,             0.00062972,             0.00062972
                     59,                0.95839,                0.93529,                 1.2739,                0.78676,                0.37796,                0.40104,                0.27829,                    nan,                    nan,                    nan,             0.00061545,             0.00061545,             0.00061545
                     60,                0.97539,                0.93255,                 1.2759,                0.84683,                 0.3681,                0.40394,                0.29994,                    nan,                    nan,                    nan,             0.00060117,             0.00060117,             0.00060117
                     61,                0.90521,                0.90346,                 1.2039,                0.69388,                0.39185,                0.40388,                0.29989,                    nan,                    nan,                    nan,              0.0005869,              0.0005869,              0.0005869
                     62,                0.93116,                0.91768,                 1.2408,                 0.9066,                0.38198,                0.42892,                0.31831,                    nan,                    nan,                    nan,             0.00057263,             0.00057263,             0.00057263
                     63,                0.90714,                0.87704,                 1.2118,                0.74717,                0.38722,                0.41789,                0.32311,                    nan,                    nan,                    nan,             0.00055836,             0.00055836,             0.00055836
                     64,                 0.8953,                0.84842,                 1.2132,                0.75279,                0.40144,                0.42636,                0.31726,                    nan,                    nan,                    nan,             0.00054408,             0.00054408,             0.00054408
                     65,                0.87124,                0.82729,                  1.198,                0.76847,                0.40042,                0.41129,                 0.3033,                    nan,                    nan,                    nan,             0.00052981,             0.00052981,             0.00052981
                     66,                0.94906,                0.86944,                 1.2466,                 0.7496,                0.40683,                0.41689,                0.31164,                    nan,                    nan,                    nan,             0.00051554,             0.00051554,             0.00051554
                     67,                0.91981,                0.89158,                 1.2435,                0.84428,                0.37736,                0.41608,                0.29139,                    nan,                    nan,                    nan,             0.00050126,             0.00050126,             0.00050126
                     68,                0.87974,                0.87777,                 1.2155,                0.86281,                0.35421,                0.41133,                0.29878,                    nan,                    nan,                    nan,             0.00048699,             0.00048699,             0.00048699
                     69,                0.88898,                0.84587,                 1.2049,                0.71725,                0.38856,                0.41846,                0.30751,                    nan,                    nan,                    nan,             0.00047272,             0.00047272,             0.00047272
                     70,                0.87562,                0.83442,                 1.2137,                0.81444,                0.37796,                0.41938,                0.31951,                    nan,                    nan,                    nan,             0.00045845,             0.00045845,             0.00045845
